Nuevo entrenamiento
Generaciones: 1500 - Poblacion: 100
Gen 228/1500 | Mejor: 331.7 | Record: 461.0
Gen 229/1500 | Mejor: 377.5 | Record: 461.0
Gen 230/1500 | Mejor: 396.9 | Record: 461.0
Gen 231/1500 | Mejor: 335.4 | Record: 461.0
Gen 232/1500 | Mejor: 295.8 | Record: 461.0
Gen 233/1500 | Mejor: 342.8 | Record: 461.0
Gen 234/1500 | Mejor: 353.6 | Record: 461.0
Gen 235/1500 | Mejor: 346.4 | Record: 461.0
Gen 236/1500 | Mejor: 320.2 | Record: 461.0
  [sigma ajustado a 0.072]
Gen 237/1500 | Mejor: 350.0 | Record: 461.0
Gen 238/1500 | Mejor: 278.4 | Record: 461.0
Gen 239/1500 | Mejor: 377.5 | Record: 461.0
Gen 240/1500 | Mejor: 264.6 | Record: 461.0
Gen 241/1500 | Mejor: 370.8 | Record: 461.0
Gen 242/1500 | Mejor: 316.2 | Record: 461.0
Gen 243/1500 | Mejor: 353.6 | Record: 461.0
Gen 244/1500 | Mejor: 357.1 | Record: 461.0
Gen 245/1500 | Mejor: 339.1 | Record: 461.0
Gen 246/1500 | Mejor: 331.7 | Record: 461.0
Gen 247/1500 | Mejor: 380.8 | Record: 461.0
Gen 248/1500 | Mejor: 396.9 | Record: 461.0
Gen 249/1500 | Mejor: 327.9 | Record: 461.0
Gen 250/1500 | Mejor: 324.0 | Record: 461.0
Gen 251/1500 | Mejor: 339.1 | Record: 461.0
Gen 252/1500 | Mejor: 400.0 | Record: 461.0
Gen 253/1500 | Mejor: 360.6 | Record: 461.0
Gen 254/1500 | Mejor: 409.3 | Record: 461.0
Gen 255/1500 | Mejor: 384.1 | Record: 461.0
Gen 256/1500 | Mejor: 367.4 | Record: 461.0
  [sigma ajustado a 0.086]
Gen 257/1500 | Mejor: 342.8 | Record: 461.0
Gen 258/1500 | Mejor: 384.1 | Record: 461.0
Gen 259/1500 | Mejor: 300.0 | Record: 461.0
Gen 260/1500 | Mejor: 374.2 | Record: 461.0
Gen 261/1500 | Mejor: 335.4 | Record: 461.0
Gen 262/1500 | Mejor: 350.0 | Record: 461.0
Gen 263/1500 | Mejor: 396.9 | Record: 461.0
Gen 264/1500 | Mejor: 390.5 | Record: 461.0
Gen 265/1500 | Mejor: 331.7 | Record: 461.0
Gen 266/1500 | Mejor: 291.5 | Record: 461.0
Gen 267/1500 | Mejor: 335.4 | Record: 461.0
Gen 268/1500 | Mejor: 350.0 | Record: 461.0
Gen 269/1500 | Mejor: 308.2 | Record: 461.0
Gen 270/1500 | Mejor: 335.4 | Record: 461.0
Gen 271/1500 | Mejor: 346.4 | Record: 461.0
Gen 272/1500 | Mejor: 374.2 | Record: 461.0
Gen 273/1500 | Mejor: 367.4 | Record: 461.0
Gen 274/1500 | Mejor: 380.8 | Record: 461.0
Gen 275/1500 | Mejor: 370.8 | Record: 461.0
Gen 276/1500 | Mejor: 390.5 | Record: 461.0
  [sigma ajustado a 0.104]
Gen 277/1500 | Mejor: 346.4 | Record: 461.0
